SourceShortCode,Type,SourceLink,Shortcode,Username,Profile ID,Media Type,Video View Count,Likes,Comments,Date created,Caption,URL,MatchTerm
,Comment,,,atualizeinaweb,402918292566712,photos,7305,427,14,2024-09-16 00:25:11,Durante seu show no Rock in Rio  na noite deste domingo (15)  MC Hariel se manifestou sobre as queimadas que assolam o Brasil. O cantor exibiu um cartaz com a mensagem: “Parem as queimadas”. (Reprodução: internet)   #rockinrio #mchariel #hariel #funkbrasil,,
,Comment,,,deolhobc,734425372185283,albums,10574,42,0,2024-09-16 00:25:09,Incêndio em residência mobiliza Corpo de Bombeiros em Porto Belo  No domingo 15 de setembro de 2024  por volta das 16h18  um incêndio em uma residência unifamiliar localizada na Rua Milton José Serpa Filho  no bairro Vila Nova  em Porto Belo  mobilizou equipes do Corpo de Bombeiros Militar.   A edificação de aproximadamente 80m² estava parcialmente tomada pelas chamas  que atingiram com maior intensidade a garagem  onde se localizavam a cozinha  uma churrasqueira e uma lancha  todos completamente destruídos pelo fogo. O incêndio já estava em fase de desenvolvimento completo quando os bombeiros chegaram ao local.  Para controlar as chamas  foi montada uma linha de combate direto  utilizando cerca de 3.000 litros de água. O incêndio foi totalmente extinto após aproximadamente 60 minutos de trabalho  incluindo a fase de rescaldo. A residência ao lado  com cerca de 300m²  foi preservada graças à ação rápida das equipes.  De acordo com o proprietário  a residência estava desocupada desde o meio-dia. Não houve feridos e o local foi isolado e entregue ao dono após a operação.,,
,Comment,,,mundoespiritual_ia,1188064882478485,videos,3186,308,10,2024-09-16 00:24:27,Simplesmente Brasil e sua mídia seletiva … Compartilhem este vídeo para alcançarmos mais pessoas e que seja 1% conscientizarmos nossa população 🇧🇷🔥 Nossas Terras  nossos povos  nossa fauna e nossa flora  estão sendo destruídas e estão simplesmente virando a câmera para outros fatos ridículos !  #florestaamazonica #queimadas #amazonia #floresta #originários #indigena,,
,Comment,,,esnoticiasdigital,1661208048031221,videos,51954,1081,124,2024-09-16 00:21:30,Informações extraoficiais dão conta de que colocaram fogo em um bananal na comunidade de Monte Belo  em Iconha. Uma lástima  se este incêndio foi criminoso que o autor seja localizado e preso. Tanto trabalho do agricultor para cuidar do seu plantio e terminar assim  é revoltante.  #iconha,,
,Comment,,,sahsvern,562136862819345,videos,565,507,0,2024-09-16 00:19:49,Que coisa mais triste estes dias de luta conta as queimadas agressivas que vem devastando nossas florestas! 🏴,,
,Comment,,,newsrondonia,731386775690008,videos,1117,17,7,2024-09-16 00:19:33,*Marina Silva compara incêndios criminosos com atentado golpista de 8 de janeiro*  São pessoas atuando deliberadamente para criar o caos no Brasil. Parece ser uma aliança do crime com a emergência climática.  https://newsrondonia.com.br/noticias/2024/09/15/marina-silva-compara-incendios-criminosos-com-atentado-golpista-de-8-de-janeiro/,,
,Comment,,,tonysanttanaoficial,865545485262809,photos,6319,72,6,2024-09-16 00:19:32,O ministro Flávio Dino  do STF (Supremo Tribunal Federal)  autorizou o governo federal a emitir créditos extraordinários fora da meta fiscal até o fim deste ano para o combate aos incêndios que atingem o país.  Em decisão publicada neste domingo (15)  o ministro ainda facilitou a manutenção de brigadistas com contratos temporários e que inquéritos sobre queimadas sejam tratados como prioridade dentro da Polícia Federal.,,
,Comment,,,patoshoje,6650609021716022,videos,117178,1689,71,2024-09-16 00:19:25,Voluntários tiveram que se juntarem aos Bombeiros para conter um incêndio florestal devastador no distrito de Alagoas  neste domingo (15). As chamas começaram em uma região conhecida como Santa Cruz e se alastraram por diversas propriedades.   Cerca de 100 hectares de matas  passagens e lavouras foram consumidos pelas chamas  causando grande prejuízo. Existe a suspeita de que o incêndio tenha sido criminoso.,,
,Comment,,,sitefunkoficial,1568453947430264,photos,1272,28,0,2024-09-16 00:18:43,MC Hariel ( <redacted_mention> ) pediu que os governantes se atentem ao problema. O cantor levantou uma placa com os dizeres “parem as queimadas” e  na sequência  fez uma adaptação do refrão de “Oh! Chuva”  canção eternizada pelo Falamansa.  Ao invés de “Oh  chuva/ Eu peço que caia devagar/ Só molhe esse povo de alegria/ Para nunca mais chorar”  o funkeiro cantou:  “O Globo/ Eu peço que venha me filmar/ Avisa pros políticos em Brasília/ Que o bicho vai pegar”. O pedido foi atendido  já que o show do cantor era transmitido no Canal Bis. 🫡  #Funk #Brasil #Mc #Musica #Baile #Esquece #FodeuModinha #OpaiTaOn #AmaeTaOn #Fluxo #Favelavenceu #TikTok #Superação #Explorer #Funk2024 #fy #fyp #foryou #Meme #Reels #Previasdofunk  #Revelacoesdofunk #Funk24horas #SiteFunk <redacted_mention>,,
,Comment,,,consultoriocybelemandetta,1901408673670534,photos,509,0,0,2024-09-16 00:16:20,Graças a Deus uma chuvinha! Saúde agradece  que esteja chovendo onde tem queimadas!🙏🙏,,
